t	rad	xerr	yerr
37.468	0.028	0.005	0.009
37.535	0.086	0.005	0.009
37.602	0.131	0.005	0.009
37.668	0.165	0.005	0.009
37.735	0.179	0.005	0.009
37.802	0.174	0.005	0.009
37.868	0.151	0.005	0.009
37.935	0.111	0.005	0.009
38.002	0.063	0.005	0.009
38.068	0.004	0.005	0.009
38.135	-0.054	0.005	0.009
38.202	-0.107	0.005	0.009
38.268	-0.147	0.005	0.009
38.335	-0.170	0.005	0.009
38.402	-0.175	0.005	0.009
38.468	-0.156	0.005	0.009
38.535	-0.125	0.005	0.009
38.602	-0.079	0.005	0.009
38.668	-0.023	0.005	0.009
38.735	0.035	0.005	0.009
38.802	0.090	0.005	0.009
38.868	0.137	0.005	0.009
38.935	0.166	0.005	0.009
39.002	0.178	0.005	0.009
39.068	0.176	0.005	0.009
39.135	0.146	0.005	0.009
39.202	0.104	0.005	0.009
39.268	0.053	0.005	0.009
39.335	-0.004	0.005	0.009
39.402	-0.063	0.005	0.009
39.468	-0.111	0.005	0.009
39.535	-0.150	0.005	0.009
39.602	-0.169	0.005	0.009
39.668	-0.169	0.005	0.009
39.735	-0.152	0.005	0.009
39.802	-0.117	0.005	0.009
39.868	-0.069	0.005	0.009
39.935	-0.014	0.005	0.009
40.002	0.043	0.005	0.009
40.068	0.096	0.005	0.009
40.135	0.139	0.005	0.009
40.202	0.168	0.005	0.009
40.268	0.177	0.005	0.009
40.335	0.167	0.005	0.009
40.402	0.139	0.005	0.009
40.468	0.096	0.005	0.009
40.535	0.042	0.005	0.009
40.602	-0.014	0.005	0.009
40.668	-0.069	0.005	0.009
40.735	-0.120	0.005	0.009
40.802	-0.153	0.005	0.009
40.868	-0.169	0.005	0.009
40.935	-0.167	0.005	0.009
41.002	-0.146	0.005	0.009
41.068	-0.110	0.005	0.009
41.135	-0.060	0.005	0.009
41.202	-0.004	0.005	0.009
41.268	0.053	0.005	0.009
41.335	0.103	0.005	0.009
41.402	0.143	0.005	0.009
41.468	0.169	0.005	0.009
41.535	0.176	0.005	0.009
41.602	0.162	0.005	0.009
41.668	0.132	0.005	0.009
41.735	0.087	0.005	0.009
41.802	0.036	0.005	0.009
41.868	-0.022	0.005	0.009
41.935	-0.077	0.005	0.009
42.002	-0.123	0.005	0.009
42.068	-0.154	0.005	0.009
42.135	-0.169	0.005	0.009
42.202	-0.165	0.005	0.009
42.268	-0.140	0.005	0.009
42.335	-0.104	0.005	0.009
42.402	-0.054	0.005	0.009
42.468	0.004	0.005	0.009
42.535	0.059	0.005	0.009
42.602	0.110	0.005	0.009
42.668	0.147	0.005	0.009
42.735	0.169	0.005	0.009
42.802	0.174	0.005	0.009
42.868	0.157	0.005	0.009
42.935	0.128	0.005	0.009
43.002	0.082	0.005	0.009
43.068	0.027	0.005	0.009
43.135	-0.029	0.005	0.009
43.202	-0.083	0.005	0.009
43.268	-0.126	0.005	0.009
43.335	-0.156	0.005	0.009
43.402	-0.168	0.005	0.009
43.468	-0.158	0.005	0.009
43.535	-0.135	0.005	0.009
43.602	-0.094	0.005	0.009
43.668	-0.042	0.005	0.009
43.735	0.014	0.005	0.009
43.802	0.068	0.005	0.009
43.868	0.115	0.005	0.009
43.935	0.151	0.005	0.009
44.002	0.169	0.005	0.009
44.068	0.170	0.005	0.009
44.135	0.151	0.005	0.009
44.202	0.118	0.005	0.009
44.268	0.075	0.005	0.009
44.335	0.018	0.005	0.009
44.402	-0.037	0.005	0.009
44.468	-0.089	0.005	0.009
44.535	-0.132	0.005	0.009
44.602	-0.157	0.005	0.009
44.668	-0.167	0.005	0.009
44.735	-0.154	0.005	0.009
44.802	-0.129	0.005	0.009
44.868	-0.085	0.005	0.009
44.935	-0.034	0.005	0.009
45.002	-0.006	0.005	0.009
45.068	0.074	0.005	0.009
45.135	0.120	0.005	0.009
45.202	0.152	0.005	0.009
45.268	0.169	0.005	0.009
45.335	0.167	0.005	0.009
45.402	0.146	0.005	0.009
45.468	0.110	0.005	0.009
45.535	0.064	0.005	0.009
45.602	0.010	0.005	0.009
45.668	-0.044	0.005	0.009
45.735	-0.095	0.005	0.009
45.802	-0.136	0.005	0.009
45.868	-0.158	0.005	0.009
45.935	-0.164	0.005	0.009
46.002	-0.152	0.005	0.009
46.068	-0.122	0.005	0.009
46.135	-0.079	0.005	0.009
46.202	-0.026	0.005	0.009
46.268	0.030	0.005	0.009
46.335	0.081	0.005	0.009
46.402	0.126	0.005	0.009
46.468	0.156	0.005	0.009
46.535	0.168	0.005	0.009
46.602	0.165	0.005	0.009
46.668	0.141	0.005	0.009
46.735	0.104	0.005	0.009
46.802	0.055	0.005	0.009
46.868	0.001	0.005	0.009
46.935	-0.055	0.005	0.009
47.002	-0.102	0.005	0.009
47.068	-0.139	0.005	0.009
47.135	-0.162	0.005	0.009
47.202	-0.163	0.005	0.009
47.268	-0.148	0.005	0.009
47.335	-0.116	0.005	0.009
47.402	-0.069	0.005	0.009
47.468	-0.019	0.005	0.009
47.535	0.039	0.005	0.009
47.602	0.089	0.005	0.009
47.668	0.129	0.005	0.009
47.735	0.157	0.005	0.009
47.802	0.167	0.005	0.009
47.868	0.159	0.005	0.009
47.935	0.136	0.005	0.009
48.002	0.095	0.005	0.009
48.068	0.048	0.005	0.009
48.135	-0.008	0.005	0.009
48.202	-0.060	0.005	0.009
48.268	-0.106	0.005	0.009
48.335	-0.142	0.005	0.009
48.402	-0.161	0.005	0.009
48.468	-0.161	0.005	0.009
48.535	-0.142	0.005	0.009
48.602	-0.107	0.005	0.009
48.668	-0.062	0.005	0.009
48.735	-0.009	0.005	0.009
48.802	0.045	0.005	0.009
48.868	0.095	0.005	0.009
48.935	0.135	0.005	0.009
49.002	0.159	0.005	0.009
49.068	0.167	0.005	0.009
49.135	0.158	0.005	0.009
49.202	0.129	0.005	0.009
49.268	0.089	0.005	0.009
49.335	0.038	0.005	0.009
49.402	-0.016	0.005	0.009
49.468	-0.069	0.005	0.009
49.535	-0.113	0.005	0.009
49.602	-0.145	0.005	0.009
49.668	-0.160	0.005	0.009
49.737	-0.156	0.005	0.009
49.803	-0.136	0.005	0.009
49.870	-0.099	0.005	0.009
49.937	-0.052	0.005	0.009
50.003	-0.001	0.005	0.009
50.070	0.053	0.005	0.009
50.137	0.101	0.005	0.009
50.203	0.139	0.005	0.009
50.270	0.160	0.005	0.009
50.337	0.165	0.005	0.009
50.403	0.151	0.005	0.009
50.470	0.123	0.005	0.009
50.537	0.080	0.005	0.009
50.603	0.030	0.005	0.009
50.670	-0.024	0.005	0.009
50.737	-0.074	0.005	0.009
50.803	-0.117	0.005	0.009
50.870	-0.133	0.005	0.009
50.937	-0.160	0.005	0.009
51.003	-0.152	0.005	0.009
51.070	-0.129	0.005	0.009
51.137	-0.092	0.005	0.009
51.203	-0.044	0.005	0.009
51.270	0.010	0.005	0.009
51.337	0.061	0.005	0.009
51.403	0.107	0.005	0.009
51.470	0.140	0.005	0.009
51.537	0.160	0.005	0.009
51.603	0.162	0.005	0.009
51.670	0.149	0.005	0.009
51.737	0.117	0.005	0.009
51.803	0.072	0.005	0.009
51.870	0.021	0.005	0.009
51.937	-0.033	0.005	0.009
52.003	-0.084	0.005	0.009
52.070	-0.122	0.005	0.009
52.137	-0.148	0.005	0.009
52.203	-0.158	0.005	0.009
52.270	-0.149	0.005	0.009
52.337	-0.122	0.005	0.009
52.403	-0.082	0.005	0.009
52.470	-0.035	0.005	0.009
52.537	0.018	0.005	0.009
52.603	0.068	0.005	0.009
52.670	0.112	0.005	0.009
52.737	0.144	0.005	0.009
52.803	0.160	0.005	0.009
52.870	0.160	0.005	0.009
52.937	0.142	0.005	0.009
53.003	0.107	0.005	0.009
53.070	0.064	0.005	0.009
53.137	0.013	0.005	0.009
53.203	-0.041	0.005	0.009
53.270	-0.088	0.005	0.009
53.337	-0.126	0.005	0.009
53.403	-0.150	0.005	0.009
53.470	-0.155	0.005	0.009
53.537	-0.143	0.005	0.009
53.603	-0.115	0.005	0.009
53.670	-0.073	0.005	0.009
53.737	-0.025	0.005	0.009
53.803	0.025	0.005	0.009
53.870	0.077	0.005	0.009
53.937	0.118	0.005	0.009
54.003	0.148	0.005	0.009
54.070	0.162	0.005	0.009
54.137	0.156	0.005	0.009
54.203	0.136	0.005	0.009
54.270	0.101	0.005	0.009
54.337	0.054	0.005	0.009
54.403	0.004	0.005	0.009
54.470	-0.049	0.005	0.009
54.537	-0.092	0.005	0.009
54.603	-0.129	0.005	0.009
54.670	-0.151	0.005	0.009
54.737	-0.155	0.005	0.009
54.803	-0.140	0.005	0.009
54.870	-0.109	0.005	0.009
54.937	-0.068	0.005	0.009
55.003	-0.018	0.005	0.009
55.070	0.032	0.005	0.009
55.137	0.081	0.005	0.009
55.203	0.121	0.005	0.009
55.270	0.146	0.005	0.009
55.337	0.159	0.005	0.009
55.403	0.151	0.005	0.009
55.470	0.130	0.005	0.009
55.537	0.093	0.005	0.009
55.603	0.048	0.005	0.009
55.670	-0.005	0.005	0.009
55.737	-0.055	0.005	0.009
55.803	-0.100	0.005	0.009
55.870	-0.131	0.005	0.009
55.937	-0.150	0.005	0.009
56.003	-0.150	0.005	0.009
56.070	-0.135	0.005	0.009
56.137	-0.103	0.005	0.009
